id;address;new_address;match
145;MEMORIAL FRANCE COMBATTANTE;;False
146;PASSAGE DES CLOSEAUX;;False
147;PASSAGE DES PETITS CLOS;PASSAGE DES PETITS CLOS;True
148;PASSAGE DU PANORAMA;;False
149;PASSAGE DU VAL D'OR;PASSAGE DU VAL D'OR;True
150;PASSAGE GARE DE SURESNES;;False
151;PASSAGE PIERRE LOTI;PASSAGE PIERRE LOTI;True
152;PLACE DE KEIGHLEY;;False
153;PLACE DE LA HALLE;PLACE DE LA HALLE;True
154;PLACE DE LA HUCHETTE;;False
155;PLACE DE LA PAIX;PLACE DE LA PAIX;True
156;PLACE DE LA PREVOTE;;False
157;PLACE DE LA REPUBLIQUE;PLACE DE LA REPUBLIQUE;True
158;PLACE DE STALINGRAD;PLACE DE STALINGRAD;True
159;PLACE DE STALINGRAD;PLACE DE STALINGRAD;True
160;PLACE DES TRES BOURGEOIS;;False
165;PLACE DU 8 MAI 1945;;False
161;PLACE DU GENERAL LECLERC;PLACE DU GENERAL LECLERC;True
162;PLACE DU MOUTIER;PLACE DU MOUTIER;True
163;PLACE DU PUITS D'AMOUR;;False
164;PLACE DU RATRAIT;PLACE DU RATRAIT;True
166;PLACE EDGARD FOURNIER;;False
167;PLACE EUGENE SUE;;False
